Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Tkl_percent_Vs,Past_Vs,Press_Pressures,Succ_Pressures,_percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2018,Eint Frankfurt,Bundesliga,Aymen Barkok,MAR,"MF,FW",19,1998,3.5,10,5,6,1,3,0,2,0,2,100,21,21,31,50,19,10,3,0,7,2,12,1,0,https://fbref.com/en/players/a2a85828/Aymen-Barkok
2018,Eint Frankfurt,Bundesliga,Danny Blum,GER,"FW,DF",26,1991,0.3,1,1,0,1,0,0,0,NA,0,2,0,0,1,0,1,0,0,0,0,1,2,0,0,https://fbref.com/en/players/eb61713c/Danny-Blum
2018,Eint Frankfurt,Bundesliga,Kevin-Prince Boateng,GHA,"MF,FW",30,1987,26.2,37,22,13,21,3,9,31,29,22,392,111,28.3,77,234,81,33,8,0,25,15,52,36,0,https://fbref.com/en/players/f4ec4fd0/Kevin-Prince-Boateng
2018,Eint Frankfurt,Bundesliga,Marijan Ćavar,BIH,"FW,MF",19,1998,0.4,0,0,0,0,0,0,4,0,4,12,4,33.3,1,7,4,0,0,0,0,0,0,0,0,https://fbref.com/en/players/33ec696b/Marijan-Cavar
2018,Eint Frankfurt,Bundesliga,Timothy Chandler,USA,"DF,MF",27,1990,21,22,18,11,10,1,6,18,33.3,12,195,65,33.3,64,94,37,27,0,0,27,27,49,37,1,https://fbref.com/en/players/b3b7f5a6/Timothy-Chandler
2018,Eint Frankfurt,Bundesliga,Danny da Costa,GER,DF,24,1993,13.4,40,24,12,16,12,8,17,47.1,9,213,85,39.9,82,77,54,27,6,1,21,15,55,34,0,https://fbref.com/en/players/5ddb8f9f/Danny-da-Costa
2018,Eint Frankfurt,Bundesliga,Marco Fabián,MEX,"FW,MF",28,1989,4.7,6,4,1,3,2,1,7,14.3,6,110,33,30,15,58,37,3,0,0,3,1,7,1,0,https://fbref.com/en/players/e665a2db/Marco-Fabian
2018,Eint Frankfurt,Bundesliga,Simon Falette,GUI,DF,25,1992,24.6,39,28,27,11,1,14,31,45.2,17,217,73,33.6,129,81,7,48,14,0,34,42,81,137,1,https://fbref.com/en/players/b82880c6/Simon-Falette
2018,Eint Frankfurt,Bundesliga,Gelson Fernandes,SUI,MF,30,1986,11.5,53,31,25,25,3,13,47,27.7,34,394,122,31,143,211,40,23,4,0,19,9,62,20,0,https://fbref.com/en/players/8e58987d/Gelson-Fernandes
2018,Eint Frankfurt,Bundesliga,Mijat Gaćinović,SRB,MF,22,1995,20.2,38,24,10,19,9,10,55,18.2,45,531,132,24.9,120,282,129,37,2,0,35,30,68,20,0,https://fbref.com/en/players/16daec92/Mijat-Gacinovic
2018,Eint Frankfurt,Bundesliga,Jonathan de Guzmán,NED,MF,29,1987,12.1,19,15,8,11,0,9,21,42.9,12,203,45,22.2,51,126,26,12,0,0,12,10,29,3,0,https://fbref.com/en/players/1bcca8b8/Jonathan-de-Guzman
2018,Eint Frankfurt,Bundesliga,Sébastien Haller,CIV,FW,23,1994,26.1,26,18,5,17,4,5,15,33.3,10,563,153,27.2,24,260,279,22,5,0,17,6,32,32,0,https://fbref.com/en/players/ba115a40/Sebastien-Haller
2018,Eint Frankfurt,Bundesliga,Makoto Hasebe,JPN,"DF,MF",33,1984,23.2,33,19,16,16,1,15,35,42.9,20,279,102,36.6,141,127,11,48,19,3,29,16,49,72,0,https://fbref.com/en/players/9ab16552/Makoto-Hasebe
2018,Eint Frankfurt,Bundesliga,Lukáš Hrádecký,FIN,GK,27,1989,34,0,0,0,0,0,0,2,0,2,2,1,50,2,0,0,0,0,0,0,0,0,4,1,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
2018,Eint Frankfurt,Bundesliga,Branimir Hrgota,SWE,"FW,MF",24,1993,2.2,6,4,2,1,3,4,8,50,4,86,20,23.3,11,50,25,1,0,0,1,1,7,0,0,https://fbref.com/en/players/710fbdd1/Branimir-Hrgota
2018,Eint Frankfurt,Bundesliga,Luka Jović,SRB,FW,19,1997,10.4,6,3,2,4,0,1,2,50,1,170,56,32.9,9,70,91,9,3,0,6,3,9,4,0,https://fbref.com/en/players/4d8cd038/Luka-Jovic
2018,Eint Frankfurt,Bundesliga,Daichi Kamada,JPN,"FW,MF",20,1996,1.6,0,0,0,0,0,0,0,NA,0,34,8,23.5,8,12,14,1,0,0,1,1,1,0,0,https://fbref.com/en/players/15b287da/Daichi-Kamada
2018,Eint Frankfurt,Bundesliga,Omar Mascarell,ESP,MF,24,1993,8.6,26,18,9,17,0,8,24,33.3,16,159,47,29.6,48,107,4,13,1,0,12,14,40,12,0,https://fbref.com/en/players/11fd2b75/Omar-Mascarell
2018,Eint Frankfurt,Bundesliga,Slobodan Medojević,SRB,MF,26,1990,0.3,0,0,0,0,0,0,0,NA,0,2,0,0,1,1,0,1,0,0,1,1,1,0,0,https://fbref.com/en/players/2e64bb49/Slobodan-Medojevic
