Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,Url
2018,Augsburg,Bundesliga,Rani Khedira,GER,"MF,DF",23,1994,30,2275,76,74.3,25.3,27,NA,19,3,NA,1,1.13,28,36,-8,-0.32,-0.89,30.6,31.8,-1.2,-0.05,-0.4,https://fbref.com/en/players/59e4b92e/Rani-Khedira
2018,Augsburg,Bundesliga,Andreas Luthe,GER,GK,30,1987,2,180,90,5.9,2,2,NA,2,0,NA,31,0.5,2,4,-2,-1,-0.97,1.1,2.5,-1.4,-0.68,-0.78,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2018,Augsburg,Bundesliga,Maurice Malone,GER,"FW,MF",16,2000,0,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/0674ebf1/Maurice-Malone
2018,Augsburg,Bundesliga,Philipp Max,GER,DF,23,1993,33,2959,90,96.7,32.9,33,NA,32,0,NA,0,1.24,43,44,-1,-0.03,1.75,44.7,41.6,3.2,0.1,1.21,https://fbref.com/en/players/826e8b63/Philipp-Max
2018,Augsburg,Bundesliga,Jan Morávek,CZE,MF,27,1989,16,702,44,22.9,7.8,7,NA,0,9,NA,8,0.94,8,6,2,0.26,0.45,8.1,8,0.2,0.02,-0.04,https://fbref.com/en/players/e7d22eae/Jan-Moravek
2018,Augsburg,Bundesliga,Daniel Opare,GHA,"DF,MF",26,1990,17,1417,83,46.3,15.7,17,NA,15,0,NA,2,1.53,24,19,5,0.32,0.76,23.7,18.9,4.8,0.3,0.46,https://fbref.com/en/players/49d53c68/Daniel-Opare
2018,Augsburg,Bundesliga,Shawn Parker,GER,"DF,MF",24,1993,2,46,23,1.5,0.5,0,NA,0,2,NA,10,0.5,0,0,0,0,0.09,0.3,0.8,-0.5,-1.05,-1.12,https://fbref.com/en/players/b9ebc83e/Shawn-Parker
2018,Augsburg,Bundesliga,Marco Richter,GER,"FW,MF",19,1997,12,644,54,21,7.2,6,NA,2,6,NA,2,1.08,10,10,0,0,0.11,7.1,10,-2.9,-0.44,-0.61,https://fbref.com/en/players/f972644c/Marco-Richter
2018,Augsburg,Bundesliga,Romario Rösch,GER,MF,18,1999,0,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/87ebfdb8/Romario-Rosch
2018,Augsburg,Bundesliga,Jonathan Schmid,FRA,"DF,FW",27,1990,25,1473,59,48.1,16.4,15,NA,10,10,NA,6,1,16,23,-7,-0.43,-0.65,17.5,21.1,-3.6,-0.22,-0.53,https://fbref.com/en/players/088ca1bd/Jonathan-Schmid
2018,Augsburg,Bundesliga,Kostas Stafylidis,GRE,DF,23,1993,2,33,17,1.1,0.4,0,NA,0,2,NA,6,1.5,0,0,0,0,0.09,0,0.7,-0.7,-1.81,-1.89,https://fbref.com/en/players/861e0116/Kostas-Stafylidis
