Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2018,Dortmund,Bundesliga,Mario Götze,GER,MF,25,1992,23,19,1601,17.8,2,3,2,0,0,1,0,0.11,0.17,0.28,0.11,0.28,1.6,1.6,5.1,6.7,0.09,0.29,0.38,0.09,0.38,https://fbref.com/en/players/9efa1d25/Mario-Gotze
2018,Dortmund,Bundesliga,Raphaël Guerreiro,POR,"DF,MF",23,1993,9,6,547,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,1,1,0.8,1.8,0.16,0.14,0.3,0.16,0.3,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
2018,Dortmund,Bundesliga,Alexander Isak,SWE,"FW,MF",17,1999,5,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,0.48,0.16,0.64,0.48,0.64,https://fbref.com/en/players/8e92be30/Alexander-Isak
2018,Dortmund,Bundesliga,Shinji Kagawa,JPN,MF,28,1989,19,12,1166,13,5,2,5,0,0,0,0,0.39,0.15,0.54,0.39,0.54,4.3,4.3,2.1,6.4,0.33,0.16,0.5,0.33,0.5,https://fbref.com/en/players/5afafbfe/Shinji-Kagawa
2018,Dortmund,Bundesliga,Sokratis Papastathopoulos,GRE,DF,29,1988,30,28,2373,26.4,2,0,2,0,0,5,1,0.08,0,0.08,0.08,0.08,0.8,0.8,0.5,1.3,0.03,0.02,0.05,0.03,0.05,https://fbref.com/en/players/b682dcf6/Sokratis-Papastathopoulos
2018,Dortmund,Bundesliga,Felix Passlack,GER,DF,19,1998,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/5c899683/Felix-Passlack
2018,Dortmund,Bundesliga,Maximilian Philipp,GER,"FW,MF",23,1994,20,15,1203,13.4,9,1,9,0,0,0,0,0.67,0.07,0.75,0.67,0.75,5,4.9,1.6,6.5,0.37,0.12,0.49,0.36,0.48,https://fbref.com/en/players/061e8e23/Maximilian-Philipp
2018,Dortmund,Bundesliga,Łukasz Piszczek,POL,DF,32,1985,24,24,2138,23.8,0,3,0,0,0,3,0,0,0.13,0.13,0,0.13,1.2,1.2,1.7,2.9,0.05,0.07,0.12,0.05,0.12,https://fbref.com/en/players/fe2db476/Lukasz-Piszczek
2018,Dortmund,Bundesliga,Christian Pulisic,USA,FW,18,1998,32,27,2302,25.6,4,5,4,0,0,1,0,0.16,0.2,0.35,0.16,0.35,5.2,5.2,5.9,11.1,0.2,0.23,0.43,0.2,0.43,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
2018,Dortmund,Bundesliga,Marco Reus,GER,"MF,FW",28,1989,11,11,928,10.3,7,0,7,0,1,1,0,0.68,0,0.68,0.68,0.68,5,4.2,2.2,6.4,0.48,0.21,0.7,0.41,0.62,https://fbref.com/en/players/36a3ff67/Marco-Reus
