Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url
2018,Hertha BSC,Bundesliga,Valentino Lazaro,AUT,"MF,FW",21,1996,20.7,931,40,148,416,424,42,845,30,58,51.7,35,1,622,2660,1314,61,26,10,36,44,771,575,74.6,110,https://fbref.com/en/players/016ff750/Valentino-Lazaro
2018,Hertha BSC,Bundesliga,Mathew Leckie,AUS,"FW,MF",26,1991,20.6,1079,35,178,545,423,64,1066,35,63,55.6,38,2,735,3842,1859,98,30,8,53,39,1019,734,72,196,https://fbref.com/en/players/b93b7882/Mathew-Leckie
2018,Hertha BSC,Bundesliga,Fabian Lustenberger,SUI,"MF,DF",29,1988,17.6,1072,87,397,640,82,7,1047,3,4,75,3,0,596,2077,855,27,5,1,3,4,611,578,94.6,7,https://fbref.com/en/players/a63a995f/Fabian-Lustenberger
2018,Hertha BSC,Bundesliga,Arne Maier,GER,MF,18,1999,13.6,794,27,189,495,152,11,779,6,10,60,7,0,536,2800,1374,52,18,4,11,16,523,476,91,24,https://fbref.com/en/players/ab700320/Arne-Maier
2018,Hertha BSC,Bundesliga,Maximilian Mittelstädt,GER,"MF,DF",20,1997,4.7,262,9,63,122,84,4,246,9,16,56.3,12,2,161,695,285,16,2,2,7,5,170,148,87.1,13,https://fbref.com/en/players/88d4144a/Maximilian-Mittelstadt
2018,Hertha BSC,Bundesliga,Peter Pekarík,SVK,DF,30,1986,15.3,935,41,248,529,193,13,786,10,16,62.5,10,0,493,2074,913,52,16,4,7,10,555,501,90.3,20,https://fbref.com/en/players/c18d22f5/Peter-Pekarik
2018,Hertha BSC,Bundesliga,Marvin Plattenhardt,GER,DF,25,1992,33,2005,108,566,989,564,7,1580,20,32,62.5,21,1,1110,5377,2764,119,44,4,15,14,1124,1040,92.5,32,https://fbref.com/en/players/f7aa75bd/Marvin-Plattenhardt
2018,Hertha BSC,Bundesliga,Karim Rekik,NED,DF,22,1994,25.6,1584,177,899,757,41,20,1553,0,1,0,0,0,1028,5682,2638,45,7,0,10,5,1012,993,98.1,14,https://fbref.com/en/players/3376a776/Karim-Rekik
2018,Hertha BSC,Bundesliga,Julian Schieber,GER,"MF,FW",28,1989,0.6,23,1,2,10,12,3,23,1,4,25,2,0,13,39,30,1,0,0,1,2,24,15,62.5,2,https://fbref.com/en/players/37c213cf/Julian-Schieber
2018,Hertha BSC,Bundesliga,Davie Selke,GER,FW,22,1995,21,729,22,52,377,342,102,705,23,53,43.4,27,3,391,1481,997,46,23,18,54,33,963,538,55.9,208,https://fbref.com/en/players/1238a3f9/Davie-Selke
